"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","31-OCT-16","28-OCT-16","16:15:00Z","BLOOMFIELD","New Mexico","","AIRCRAFT FORCE LANDED IN A DRY RIVER BED AFTER BALLISTIC PARACHUTE WAS DEPLOYED, NEAR BLOOMFIELD, NM","Accident","FAA Albuquerque FSDO-01","N234PJ","","","CIRRUS","SR22","","Substantial","","UNKNOWN (UNK)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","20:25:00Z","NEW BERN","North Carolina","","AIRCRAFT SHORTLY AFTER TAKEOFF, CRASHED INTO THE NEUSE RIVER, THE 1 PERSON ON BOARD JUMPED OUT AND PARACHUTED INTO THE RIVER AND WAS RESCUED BY A BOAT, NEAR NEW BERN, NC","Accident","FAA Greensboro FSDO-39","N27832","","","PITTS","S1","","Destroyed","","UNKNOWN (UNK)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","20:25:00Z","STARBUCK","Washington","","N369BD EUROCOPTER AS350B ECUREUIL ROTORCRAFT, DURING AERIAL APPLICATION, FORCE LANDED, 10 MILES FROM STARBUCK, WA","Accident","FAA Spokane FSDO-13","N369BD","","","EUROCOPTER","AS355","","Substantial","Aerial Application","UNKNOWN (UNK)","","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","21-OCT-16","18:00:00Z","LLANO","Texas","","AIRCRAFT ON LANDING GROUND LOOPED, LLANO, TX","Accident","FAA San Antonio FSDO-17","N5075S","","","CESSNA","305","","Substantial","","LANDING (LDG)","91","None","","1","","","","","","","","","","","","","","","","","","",""
"No","31-OCT-16","28-OCT-16","15:00:00Z","ASHERTON","Texas","","N522KC ROBINSON R22 ROTORCRAFT FORCE LANDED NEAR ASHERTON, TX","Accident","FAA San Antonio FSDO-17","N522KC","","","ROBINSON","R22","","Substantial","","UNKNOWN (UNK)","","None","","1","","","","","","","","","","1","","","","","","","","",""
"No","31-OCT-16","31-OCT-16","01:05:00Z","PALMER","Alaska","","AIRCRAFT CRASHED ONTO THE KNIK RIVER BANK UNDER UNKNOWN CIRCUMSTANCES, THE 1 PERSON ON BOARD WAS FATALLY INJURED, NEAR PALMER, ALASKA","Accident","FAA Anchorage FSDO-03","N6353E","","","CESSNA","172","","Unknown","","UNKNOWN (UNK)","","Fatal","Yes","","","","1","","","","","","","","","","","","","","","",""
"No","31-OCT-16","29-OCT-16","06:00:00Z","CLARKSVILLE","Texas","","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, THE 1 PERSON ON BOARD WAS FATALLY INJURED, NEAR CLARKSVILLE, TX","Accident","FAA Dallas FSDO-05","N377MA","","","AVIAT","A1","","Unknown","","UNKNOWN (UNK)","","Fatal","Yes","","","","1","","","","","","","","","","","","","","","",""
"No","28-OCT-16","22-OCT-16","19:00:00Z","LONE ROCK","Wisconsin","","AIRCRAFT LANDED GEAR UP, LONE ROCK, WI","Incident","FAA Milwaukee FSDO-13","N9187C","","","CESSNA","182","","Minor","","LANDING (LDG)","","None","","2","","","","","","","","","","1","","","","","","","","",""
"No","28-OCT-16","27-OCT-16","21:03:00Z","SCOTTSDALE","Arizona","","AIRCRAFT ON LANDING WENT OFF THE SIDE OF THE RUNWAY AND STRUCK A RUNWAY LIGHT, SCOTTSDALE, AZ","Incident","FAA Scottsdale FSDO-07","N910KT","","","PIPER","PA44","","None","","LANDING (LDG)","","None","","2","","","","","","","","","","","","","","","","","","",""
"No","28-OCT-16","27-OCT-16","22:07:00Z","NANTUCKET","Massachusetts","","AIRCRAFT ON LANDING, GEAR COLLAPSED AND WENT OFF THE RUNWAY, NANTUCKET, MA","Incident","FAA Boston FSDO-61","N660W","","","CESSNA","402","","Unknown","Other","LANDING (LDG)","","None","","1","","","","","","","","","","","","","","","","","","",""
