,createDate,displayImageUrl,displayName,hasProfanity,hasSpoilers,isSuperReviewer,isVerified,rating,review,score,timeFromCreation,updateDate,accountLink,displayName,realm,userId
0,2019-09-01T15:09:28.356Z,,LD,False,False,False,True,STAR_4,Pretty scenery and movie really tried to capture how all of life is intertwined,4.0,56m ago,2019-09-01T15:09:28.356Z,,LD,Fandango,4126eeea-0101-4115-b1b1-4eb0913a071b
1,2019-09-01T15:03:09.678Z,,Trisha,False,False,False,True,STAR_3,it did not have the snap crackle pop that the original movie had.,3.0,1h ago,2019-09-01T15:03:09.678Z,,Trisha,Fandango,1F4B543E-C7B2-434A-83D0-64B3250043E2
2,2019-09-01T14:42:12.088Z,,Oscar G,False,False,False,False,STAR_3,The live-action movie was a nice attempt at remaking the original movie however there are certain critical scenes that we're unable to evoke the same emotion the original did. It was cute but it was not that girl if you know what I mean. ,3.0,1h ago,2019-09-01T14:42:12.666Z,/user/id/978220753,Oscar G,RT,978220753
3,2019-09-01T12:58:19.986Z,,,False,False,False,False,STAR_4,go fmj. v v .knt mg mi n olmmrny mb s m mymhmr muimj mb nok. r.c lvolmnm n enter mb mm new vcd. dCV hg I'm b bnb n bggd m.tmlp.,4.0,3h ago,2019-09-01T12:58:48.065Z,/user/id/260317136,,RT,260317136
4,2019-09-01T11:17:27.650Z,,Volker D,False,False,False,False,STAR_1_5,"It´s like a cover of your favorite song, by the band you hate the most.",1.5,5h ago,2019-09-01T11:28:39.020Z,/user/id/978220514,Volker D,RT,978220514
5,2019-09-01T10:26:42.584Z,,MoonHamster M,False,False,False,False,STAR_1,It's a movie that didn't  need to be remade,1.0,6h ago,2019-09-01T10:26:42.584Z,/user/id/977828495,MoonHamster M,RT,977828495
6,2019-09-01T04:58:04.990Z,,Mary,False,False,False,True,STAR_4_5,Loved everything about movie!,4.5,11h ago,2019-09-01T04:58:04.990Z,,Mary,Fandango,1702b51c-2673-40e1-a83e-d8a8f85474bb
7,2019-09-01T04:48:48.063Z,https://graph.facebook.com/v3.3/951432931858996/picture,Tina W,False,False,False,False,STAR_3,"The end is just so so, I was wondering if I can see how hard the King grows up from a little one to be an adult, but I saw nothing. That's the point why I feel little dis",3.0,11h ago,2019-09-01T04:48:48.063Z,/user/id/978220188,Tina W,RT,978220188
8,2019-09-01T04:47:17.544Z,https://graph.facebook.com/v3.3/10157165488895608/picture,Sergio G,False,False,False,False,STAR_3,"It adds nothing to the original one, visually spectacular and funny after all though ",3.0,11h ago,2019-09-01T04:47:17.544Z,/user/id/978220180,Sergio G,RT,978220180
9,2019-09-01T04:29:08.727Z,,Mary  Terry,False,False,False,True,STAR_5,Really liked that it was like the original disney movie,5.0,12h ago,2019-09-01T04:29:08.727Z,,Mary  Terry,Fandango,5e5ff764-b57f-4e6c-ba70-628a1a5c1e54
10,2019-08-29T11:52:13.547Z,,Michelle,False,False,False,True,STAR_5,Great new effects and exactly like the original at the same time.,5.0,3d ago,2019-08-29T11:52:13.547Z,,Michelle,Fandango,3e0b79d4-8ec5-4b76-ba7e-5d0bbb8250e3
11,2019-08-29T11:44:14.769Z,,Sylvia,False,False,False,True,STAR_4_5,Loved the movie even without kids by myself. A tear came down when mustafa died,4.5,3d ago,2019-08-29T11:44:14.769Z,,Sylvia,Fandango,5A867D9D-7FC0-4AB8-BB55-49BD613BDE35
12,2019-08-29T11:09:45.056Z,,Diana C,False,False,False,True,STAR_3,It was strange seeing such realistic animals talking & singing. In my opinion this movie was better in animation.,3.0,3d ago,2019-08-29T11:09:45.056Z,,Diana C,Fandango,1bbb01bd-27f3-4598-8fc5-97ead31f7fa4
13,2019-08-29T10:44:36.703Z,,Rich,False,False,False,True,STAR_5,"Perfect update to a classic, excellent casting and visual effects.",5.0,3d ago,2019-08-29T10:44:36.703Z,,Rich,Fandango,26BC033A-F935-4960-81FB-C13F88F7E870
14,2019-08-29T10:37:12.777Z,,Keyla H,False,False,False,True,STAR_2_5,"Lacked emotion, couldnt get past the change in voice for Scar",2.5,3d ago,2019-08-29T10:37:12.777Z,,Keyla H,Fandango,c6f920f0-995c-4a71-958c-3b1611c5b3a8
15,2019-08-29T10:27:35.130Z,,Nancy,False,False,False,True,STAR_5,Loved it. Same story line but loved the updated version. Thanks,5.0,3d ago,2019-08-29T10:27:35.130Z,,Nancy,Fandango,1373e0f7-8d4c-45fa-8ee7-f194be09ac6e
16,2019-08-29T08:22:33.748Z,https://graph.facebook.com/v3.3/100000000766173/picture,Heather M,False,False,False,False,STAR_3,"I'm conflicted about this one because I LOVE the Lion King and I LOVED the graphics they were able to achieve on this film. The thing I'm having the most difficulty with is the voice acting. Compared to Jeremy Irons' performance as Scar in the original, Ejiofor's just seemed a little lackluster in contrast. Sometimes it just felt like the overall voice acting lacked enthusiasm. Still an overall good film, but just a little lacking compared to the original.",3.0,3d ago,2019-08-29T08:22:33.748Z,/user/id/870637390,Heather M,RT,870637390
17,2019-08-29T06:43:18.327Z,,Audra,False,False,False,True,STAR_4,"Beautifully done movie, staying true to the original.  The fight at the end was really dark... I'm sure it must have upset some children.",4.0,3d ago,2019-08-29T06:43:18.327Z,,Audra,Fandango,783B75C3-30ED-4A99-BBB9-3AE6A47C1B71
18,2019-08-29T06:19:03.368Z,https://graph.facebook.com/v3.3/1248585962/picture,Vivian B,False,False,False,False,STAR_1_5,"It's the lion king all right, with a new coat of paint.. to bad the new coat of paint is a dull gray, it's good for a new audience and young teenagers maybe, but as a remake, the movie is missing fun. it takes itself way to seriously considering it's a musical. the charm of the original is completly lost, a couple of the jokes made me laugh, the music is the same good tracks as it was back than, aside from be prepared, Jeremy Irons was a way better scar. good for kids but as an animation fan, and fan of the original i'd give it a pass.",1.5,3d ago,2019-08-29T06:19:03.368Z,/user/id/822503571,Vivian B,RT,822503571
19,2019-08-29T05:00:54.542Z,,Stefanie,False,False,False,True,STAR_5,"I liked how it looked real,the animals were life like and it was very close to the original.",5.0,3d ago,2019-08-29T05:00:54.542Z,,Stefanie,Fandango,b31e409b-2014-42f8-8e78-930b8b5e0cf9
20,2019-08-15T19:26:33.864Z,,Mary K,False,False,False,True,STAR_4,"Beautiful scenery, music, and animation!",4.0,"Aug 15, 2019",2019-08-15T19:26:33.864Z,,Mary K,Fandango,E1FA53C8-F3F6-40AF-B8C9-0A4927D1C2F6
21,2019-08-15T19:22:56.743Z,,,False,False,False,False,STAR_2_5,I loved the way it looked but they took out the comedy almost completely this made it boring,2.5,"Aug 15, 2019",2019-08-15T19:22:56.743Z,/user/id/260070683,,RT,260070683
22,2019-08-15T19:01:22.974Z,,LSTW,False,False,False,True,STAR_3,"I thought the voice of Samba was very weak for a king. 
Thought it could of been shorter or more of him growing up.
Didn't really seem to kept the children interest.",3.0,"Aug 15, 2019",2019-08-15T19:01:25.547Z,,LSTW,Fandango,7a81cf64-fef1-42ab-add5-2df2e9c6c022
23,2019-08-15T18:50:28.859Z,,Mashka,False,False,False,False,STAR_3_5,The visual was amazing but the script and the performance didnt move me emotionally. It was missing an oomph that was desperately needed.,3.5,"Aug 15, 2019",2019-08-15T18:50:28.859Z,,Mashka,Fandango,bd5efc75-ffba-4f7d-b05a-f0500b601f0d
24,2019-08-15T18:46:20.569Z,,Klaudine,False,False,False,True,STAR_4,love it how they use the real animals to tell the story,4.0,"Aug 15, 2019",2019-08-15T18:46:20.569Z,,Klaudine,Fandango,F9E7C3F9-5A1E-494B-9CC6-B121C4F213A6
25,2019-08-15T18:43:42.961Z,,Tejas,False,False,False,True,STAR_3,I was expecting bit more from this movie. If i compare it with mowgli this movie was slow for me and not much excitement.,3.0,"Aug 15, 2019",2019-08-15T18:43:42.961Z,,Tejas,Fandango,44e3dd9c-ac12-4392-9e5c-bb37709cfb68
26,2019-08-15T18:38:12.006Z,,Danielle,False,False,False,False,STAR_5,I loved that they kept it to the original story line,5.0,"Aug 15, 2019",2019-08-15T18:38:12.006Z,,Danielle,Fandango,32039109-ba99-47fd-b3f6-5498a74db2eb
27,2019-08-15T18:12:27.046Z,,Mrs Cain,False,False,False,True,STAR_5,Loved it!! Took me back to my childhood memories!,5.0,"Aug 15, 2019",2019-08-15T18:12:27.046Z,,Mrs Cain,Fandango,A5477B94-8644-49E7-BE67-CA392EBB1203
28,2019-08-15T18:09:30.578Z,,,False,False,False,False,STAR_3,"So, If you liked the original version then you will like the remake. It's literally the same. As I did like the original I do like this version as well. Good time no alcohol required. ",3.0,"Aug 15, 2019",2019-08-15T18:09:30.578Z,/user/id/941921585,,RT,941921585
29,2019-08-15T17:52:26.801Z,,Alexis H,False,False,False,False,STAR_1,"A bore to sit through. Completely lacks emotion and heart that made the first great. The whole time I was thinking to myself, ""Why am I watching cgi animals instead of real people?"" There was absolutely no reason to remake this movie as they changed nothing save for a few lines, a new song, and new animation style (which the realism of completely hinders the emotion of the story.) If they wanted a remake so bad, the beloved stage musical should have been looked to for pointers. I left this movie supremely annoyed at Disney for all these cash grab remakes.",1.0,"Aug 15, 2019",2019-08-15T17:52:26.801Z,/user/id/977616503,Alexis H,RT,977616503
30,2019-08-15T17:51:37.142Z,,Tesfa W,False,False,False,True,STAR_5,"I had the pleasure of seeing the original, the live play and this refreshed 2.0. Excellent hands down pretty much the original but updated.",5.0,"Aug 15, 2019",2019-08-15T17:51:37.142Z,,Tesfa W,Fandango,C7F2C817-A813-420C-A942-EB45C6E5FF8D
31,2019-08-15T17:51:26.697Z,,,False,False,False,False,STAR_5,I feel like the critics are comparing the movie to the original and the movie should be reviewed like it was an original movie. Great Movie,5.0,"Aug 15, 2019",2019-08-15T17:51:26.697Z,/user/id/260313553,,RT,260313553
32,2019-08-15T17:49:35.506Z,,Aaron C,False,False,False,True,STAR_4_5,Great story to begin with. Wonderful example of evolution of animation technology.,4.5,"Aug 15, 2019",2019-08-15T17:49:35.506Z,,Aaron C,Fandango,22BD036A-1BD4-42B2-A3ED-DA95F7FA4D9F
33,2019-08-15T17:43:36.588Z,,jorge M,False,False,False,False,STAR_5,like the live view technology,5.0,"Aug 15, 2019",2019-08-15T17:43:36.588Z,,jorge M,Fandango,5986ED41-4D8B-4E81-9DE8-586188975D78
34,2019-08-15T17:28:37.059Z,,Stephen H,False,False,False,True,STAR_4_5,Cinematography was incredible. Voices were spectacular. Story is one the best ever. An absolute must see for everyone of all ages.,4.5,"Aug 15, 2019",2019-08-15T17:28:37.059Z,,Stephen H,Fandango,23A6BD6F-CAC5-422C-9BE6-BCD99AD13736
35,2019-08-15T16:57:47.938Z,,Netti,False,False,False,True,STAR_5,I really enjoyed the realistic animation with the amazing attention to details.,5.0,"Aug 15, 2019",2019-08-15T16:57:47.938Z,,Netti,Fandango,D4544AAC-FBF8-4463-A8A2-C450A6F6B506
36,2019-08-15T16:39:01.956Z,,Jay L,False,False,False,True,STAR_2_5,"Disney's attempt to rewrite history fails in comparison to the original. This visually stunning remake lacked the heart and soul of orginal. The visual characters lacked emotional expression at key moments and through out the film they did blink. While that seems like a little thing, if Disney is going to make live action films include the live action. And then there's Beyonce...",2.5,"Aug 15, 2019",2019-08-15T16:45:45.389Z,,Jay L,Fandango,038cde65-9a1e-4085-bc64-3ee5725df473
37,2019-08-15T16:38:56.151Z,,Lametria,False,False,False,True,STAR_5,Loved it. Go see this!,5.0,"Aug 15, 2019",2019-08-15T16:38:56.151Z,,Lametria,Fandango,75bff709-2c7a-4eab-b851-f5236774cbcd
38,2019-08-15T16:24:11.653Z,,Claudia,False,False,False,True,STAR_5,It was awesome. Loved the animation and the music was spectacular.,5.0,"Aug 15, 2019",2019-08-15T16:24:11.653Z,,Claudia,Fandango,76a76638-e104-4fe0-8bbf-202461117a25
39,2019-08-15T15:23:07.624Z,,cody,False,False,False,True,STAR_2_5,"The story and the quality are not very bad and I love the story of how’s it play. However, I feel like the story is more rush than explain like everything didn’t show Mufasa returning in a more spiritual cloud form and didn’t make it more better than the original it was more like a short film than a movie. Also, it should have more about how Simba exile himself and the courageous showed returning.",2.5,"Aug 15, 2019",2019-08-15T15:23:07.624Z,,cody,Fandango,BF11C3DC-6580-4292-9CA2-6289745D0C59
40,2019-08-29T04:33:12.265Z,,Rudy p,False,False,False,True,STAR_3,Great and I mean superb CGI but other than that nothing new here.,3.0,3d ago,2019-08-29T04:33:12.265Z,,Rudy p,Fandango,1105E6A7-541F-4DA8-80D5-9101BAC0F086
41,2019-08-29T03:52:56.958Z,,Taki,False,False,False,True,STAR_5,This was an excellent movie. I loved how photo real the animals were & that this stayed pretty true to the original.,5.0,4d ago,2019-08-29T03:52:56.958Z,,Taki,Fandango,003AA43E-6628-42BB-843D-6F3E45B97B76
42,2019-08-29T02:55:01.165Z,,Jamie,False,False,False,True,STAR_4,"I loved seeing this movie in a new way, the only disappointment was the change in Scars song.",4.0,4d ago,2019-08-29T02:55:01.165Z,,Jamie,Fandango,EC7B5411-7C35-4FD7-83D3-C1BEAE1B539C
